datetime,T_mu_actual,T_mu_pred
2011-01-02,-9.8,-4.942857142857143
2011-01-03,-11.55,-9.8
2011-01-04,-11.025,-11.55
2011-01-05,-8.125,-11.025
2011-01-06,-4.1875,-8.125
2011-01-08,-1.475,-4.1875
2011-01-09,0.9375,-1.475
2011-01-10,1.225,0.9375
2011-01-11,0.9625,1.225
2011-01-12,-1.5375,0.9625
2011-01-13,-2.85,-1.5375
2011-01-14,-5.3625,-2.85
2011-01-15,-13.375000000000002,-5.3625
2011-01-16,-10.175,-13.375000000000002
2011-01-17,0.17500000000000004,-10.175
2011-01-18,0.8,0.17500000000000004
2011-01-19,0.325,0.8
2011-01-20,-2.55,0.325
2011-01-21,-5.825000000000001,-2.55
2011-01-22,-4.312499999999999,-5.825000000000001
2011-01-23,-5.8125,-4.312499999999999
2011-01-24,-2.65,-5.8125
2011-01-25,-2.175,-2.65
2011-01-26,-11.6625,-2.175
2011-01-27,-10.287499999999998,-11.6625
2011-01-28,-1.8375,-10.287499999999998
2011-01-29,-0.6625,-1.8375
2011-01-30,-2.7750000000000004,-0.6625
2011-01-31,-1.9125,-2.7750000000000004
2011-02-01,-0.5625000000000001,-1.9125
2011-02-02,1.175,-0.5625000000000001
2011-02-03,0.5875,1.175
2011-02-04,0.9875,0.5875
2011-02-05,-0.02500000000000001,0.9875
2011-02-06,-1.8875,-0.02500000000000001
2011-02-08,-0.3125,-1.8875
2011-02-10,-9.975,-0.3125
2011-02-11,-10.1375,-9.975
2011-02-12,-11.825,-10.1375
2011-02-13,-17.0875,-11.825
2011-02-14,-17.8625,-17.0875
2011-02-15,-17.5875,-17.8625
2011-02-16,-16.1875,-17.5875
2011-02-17,-17.687500000000004,-16.1875
2011-02-18,-19.3125,-17.687500000000004
2011-02-19,-18.075,-19.3125
2011-02-20,-17.35,-18.075
2011-02-21,-16.6625,-17.35
2011-02-22,-13.724999999999998,-16.6625
2011-02-23,-16.2875,-13.724999999999998
2011-02-24,-17.512500000000006,-16.2875
2011-02-25,-13.525,-17.512500000000006
2011-02-26,-4.7250000000000005,-13.525
2011-02-27,-4.1625,-4.7250000000000005
2011-02-28,-7.200000000000001,-4.1625
2011-03-01,-3.9714285714285715,-7.200000000000001
2011-03-02,-1.7500000000000002,-3.9714285714285715
2011-03-03,8.326672684688674e-17,-1.7500000000000002
2011-03-04,-0.20000000000000007,8.326672684688674e-17
2011-03-05,0.3750000000000001,-0.20000000000000007
2011-03-06,-2.2875,0.3750000000000001
2011-03-07,-3.6625,-2.2875
2011-03-08,-0.325,-3.6625
2011-03-09,0.625,-0.325
2011-03-10,1.275,0.625
2011-03-11,0.4625000000000001,1.275
2011-03-12,0.0875,0.4625000000000001
2011-03-13,0.1,0.0875
2011-03-14,1.0375,0.1
2011-03-15,-2.425,1.0375
2011-03-16,-3.05,-2.425
2011-03-17,-3.35,-3.05
2011-03-18,-0.8124999999999999,-3.35
2011-03-19,-1.4500000000000002,-0.8124999999999999
2011-03-20,-0.675,-1.4500000000000002
2011-03-21,-0.6499999999999999,-0.675
2011-03-22,2.8125,-0.6499999999999999
2011-03-23,2.625,2.8125
2011-03-24,-0.1875,2.625
2011-03-25,-4.1875,-0.1875
2011-03-26,-4.275,-4.1875
2011-03-27,-1.4714285714285715,-4.275
2011-03-28,-0.3125,-1.4714285714285715
2011-03-29,-1.7125,-0.3125
2011-03-30,-0.5999999999999999,-1.7125
2011-03-31,-2.500000000000001,-0.5999999999999999
2011-04-01,-0.85,-2.500000000000001
2011-04-02,1.3750000000000002,-0.85
2011-04-03,2.157142857142857,1.3750000000000002
2011-04-04,3.775,2.157142857142857
2011-04-05,1.8875,3.775
2011-04-06,2.5125,1.8875
2011-04-07,1.9625,2.5125
2011-04-08,2.3875,1.9625
2011-04-09,4.2625,2.3875
2011-04-10,5.3625,4.2625
2011-04-11,3.0875,5.3625
2011-04-12,3.6,3.0875
2011-04-13,3.2625,3.6
2011-04-14,3.662500000000001,3.2625
2011-04-15,3.5,3.662500000000001
2011-04-16,4.7625,3.5
2011-04-17,7.325,4.7625
2011-04-18,9.0125,7.325
2011-04-19,6.2,9.0125
2011-04-20,4.075,6.2
2011-04-21,6.950000000000001,4.075
2011-04-22,8.0,6.950000000000001
2011-04-23,8.987499999999997,8.0
2011-04-24,9.9875,8.987499999999997
2011-04-25,11.2375,9.9875
