datetime;OBSERVED;U_mu
2006-09-20;0;88,625
2006-09-21;1;82,0
2006-09-22;1;86,0
2006-09-23;1;91,0
2006-09-24;1;89,0
2006-09-25;1;80,25
2006-09-26;1;76,85714285714286
2006-09-27;1;94,625
2006-09-28;1;93,875
2006-09-29;0;90,125
2006-09-30;0;97,25
2006-10-01;0;97,75
2006-10-02;0;95,625
2006-10-03;0;96,5
2006-10-04;0;94,25
2006-10-05;0;92,25
2006-10-06;0;86,75
2006-10-07;0;92,875
2006-10-08;0;91,875
2006-10-09;1;88,25
2006-10-10;1;87,375
2006-10-11;1;91,375
2006-10-13;1;87,66666666666667
2006-10-14;0;89,0
2006-10-15;1;80,375
2006-10-19;0;78,25
2006-10-20;0;86,625
2006-10-21;0;89,25
2006-10-22;0;96,375
2006-10-23;0;93,5
2006-10-24;0;95,125
2006-10-25;0;90,125
2006-10-26;0;91,5
2006-10-27;0;90,75
2006-10-28;1;70,375
2006-10-29;1;78,11111111111111
2006-10-30;0;89,25
2006-10-31;0;93,5
2006-11-01;0;94,5
2006-11-02;1;77,125
2006-11-03;1;75,625
2006-11-04;1;77,75
2006-11-05;1;82,625
2006-11-06;0;90,75
2006-11-07;1;85,25
2006-11-08;1;73,625
2006-11-09;1;95,75
2006-11-10;1;87,5
2006-11-11;1;87,75
2006-11-12;0;92,5
2006-11-13;0;91,5
2006-11-14;1;90,25
2006-11-15;0;88,25
2006-11-16;1;85,5
2006-11-17;1;88,375
2006-11-18;0;98,75
2006-11-19;0;96,25
2006-11-20;0;94,125
2006-11-21;1;89,75
2006-11-22;0;92,875
2006-11-23;0;91,875
2006-11-24;0;95,375
2006-11-25;1;93,25
2006-11-26;0;92,75
2006-11-27;1;89,875
2006-11-28;1;95,125
2006-11-29;0;97,125
2006-11-30;1;89,25
2006-12-01;1;89,75
2006-12-02;0;91,0
2006-12-03;0;90,125
2006-12-04;0;93,625
2006-12-05;0;91,375
2006-12-06;0;91,5
2006-12-07;1;81,75
2006-12-08;0;88,25
2006-12-09;1;89,0
2006-12-10;1;89,0
2006-12-11;1;83,625
2006-12-12;0;89,75
